GEN,BL,Todesfälle,Meldedatum,Bevoelkerung,Faelle_gesamt,Faelle_7-Tage,Inzidenz_7-Tage,Infektionsrate,Letalitätsrate
Mansfeld-Südharz,Sachsen-Anhalt,389,2023-02-20,132317,62374,127,96.0,0.4713982330312809,0.006236572931028955
Saalekreis,Sachsen-Anhalt,642,2023-02-20,182814,88191,139,76.0,0.4824083494699531,0.007279654386502024
Salzlandkreis,Sachsen-Anhalt,461,2023-02-20,185495,77095,107,57.7,0.41561767163535407,0.005979635514624814
Stendal,Sachsen-Anhalt,315,2023-02-20,109746,45502,44,40.1,0.4146119220746086,0.006922772625379104
Wittenberg,Sachsen-Anhalt,454,2023-02-20,123341,51777,42,34.1,0.41978741861992364,0.008768372057090986
Erfurt,Thüringen,622,2023-02-20,213227,80458,134,62.8,0.3773349528905814,0.007730741504884536
Gera,Thüringen,409,2023-02-20,91368,36759,33,36.1,0.4023180982400841,0.011126526836965097
Jena,Thüringen,183,2023-02-20,110502,47101,72,65.2,0.42624567881124326,0.00388526782870852
Suhl,Thüringen,210,2023-02-20,36054,12851,12,33.3,0.3564375658734121,0.016341140767255468
Weimar,Thüringen,196,2023-02-20,65138,27418,28,43.0,0.4209217353925512,0.007148588518491502
Eichsfeld,Thüringen,384,2023-02-20,99324,46976,65,65.4,0.47295719060851354,0.008174386920980926
Nordhausen,Thüringen,111,2023-02-20,81687,29038,35,42.8,0.3554788399622951,0.003822577312487086
Wartburgkreis,Thüringen,469,2023-02-20,158900,64469,91,57.3,0.40572057898049085,0.007274814251810948
Unstrut-Hainich-Kreis,Thüringen,451,2023-02-20,101269,43871,20,19.7,0.4332125329567785,0.010280139499897426
Kyffhäuserkreis,Thüringen,274,2023-02-20,72964,26871,20,27.4,0.3682775067156406,0.010196866510364333
Schmalkalden-Meiningen,Thüringen,762,2023-02-20,123404,56770,67,54.3,0.46003371041457325,0.013422582349832658
Gotha,Thüringen,381,2023-02-20,133825,52888,75,56.0,0.39520269008032877,0.007203902586598094
Sömmerda,Thüringen,269,2023-02-20,68717,27660,25,36.4,0.402520482558901,0.00972523499638467
Hildburghausen,Thüringen,443,2023-02-20,62089,28192,23,37.0,0.4540578846494548,0.015713677639046537
Ilm-Kreis,Thüringen,457,2023-02-20,105367,48422,58,55.0,0.45955564835289986,0.00943785882450126
Weimarer Land,Thüringen,150,2023-02-20,82103,32540,21,25.6,0.39633143734090104,0.004609711124769515
Sonneberg,Thüringen,305,2023-02-20,56504,24569,43,76.1,0.4348187738921138,0.012414017664536611
